Player,Credits,Player Type,Player Name,Team
RG Sharma,9,BAT,Rohit Sharma,MI
Mohammed Siraj,8,BOWL,Mohammed Siraj,GT
KA Jamieson,,,,
CA Lynn,,,,
YS Chahal,8.5,BOWL,Yuzvendra Chahal,PBKS
SA Yadav,9,BAT,Suryakumar Yadav,MI
Shahbaz Ahmed,7,ALL,Shahbaz Ahmed,LSG
HV Patel,8,BOWL,Harshal Patel,SRH
DT Christian,,,,
AB de Villiers,,,,
Ishan Kishan,8,WK,Ishan Kishan,SRH
Washington Sundar,7,ALL,Washington Sundar,GT
HH Pandya,9,ALL,Hardik Pandya,MI
KA Pollard,,,,
KH Pandya,7.5,ALL,Krunal Pandya,RCB
M Jansen,8,ALL,Marco Jansen,PBKS
JJ Bumrah,9,BOWL,Jasprit Bumrah,MI
TA Boult,8.5,BOWL,Trent Boult,MI
V Kohli,9,BAT,Virat Kohli,RCB
RM Patidar,8,BAT,Rajat Patidar,RCB
GJ Maxwell,8.5,ALL,Glenn Maxwell,PBKS
RD Chahar,6.5,BOWL,Rahul Chahar,SRH
RD Gaikwad,9,BAT,Ruturaj Gaikwad,CHE
CR Woakes,,,,
F du Plessis,8.5,BAT,Faf du Plessis,DC
Avesh Khan,8,BOWL,Avesh Khan,LSG
MM Ali,7,ALL,Moeen Ali,KKR
S Dhawan,,,,
SK Raina,,,,
R Ashwin,8,ALL,Ravichandran Ashwin,CHE
TK Curran,,,,
A Mishra,,,,
AT Rayudu,,,,
MP Stoinis,8,ALL,Marcus Stoinis,PBKS
RA Jadeja,8.5,ALL,Ravindra Jadeja,CHE
MS Dhoni,7,WK,MS Dhoni,CHE
SM Curran,7.5,ALL,Sam Curran,CHE
PP Shaw,,,,
DL Chahar,8,BOWL,Deepak Chahar,MI
SN Thakur,7,BOWL,Shardul Thakur,LSG
DJ Bravo,,,,
RR Pant,9,WK,Rishabh Pant,LSG
N Rana,7.5,ALL,Nitish Rana,RR
B Kumar,8,BOWL,Bhuvneshwar Kumar,RCB
Shubman Gill,9,BAT,Shubman Gill,GT
Sandeep Sharma,7.5,BOWL,Sandeep Sharma,RR
T Natarajan,7.5,BOWL,T Natarajan,DC
Mohammad Nabi,,,,
Rashid Khan,9,BOWL,Rashid-Khan,GT
RA Tripathi,7.5,BAT,Rahul Tripathi,CHE
V Shankar,,,,
WP Saha,,,,
AD Russell,8.5,ALL,Andre Russell,KKR
MK Pandey,7,BAT,Manish Pandey,KKR
EJG Morgan,,,,
Abdul Samad,6.5,BAT,Abdul Samad,LSG
KD Karthik,,,,
Shakib Al Hasan,,,,
Harbhajan Singh,,,,
DA Warner,,,,
M Prasidh Krishna,7.5,BOWL,Prasidh Krishna,GT
JM Bairstow,,,,
PJ Cummins,8.5,BOWL,Pat Cummins,SRH
CV Varun,9,BOWL,Varun Chakravarthy,KKR
KL Rahul,9,WK,Lokesh Rahul,DC
C Sakariya,6,BOWL,Chetan Sakariya,KKR
MA Agarwal,,,,
Mustafizur Rahman,,,,
SV Samson,9,WK,Sanju Samson,RR
CH Gayle,,,,
CH Morris,,,,
S Gopal,6.5,BOWL,Shreyas Gopal,CHE
BA Stokes,,,,
R Tewatia,7,ALL,Rahul Tewatia,GT
R Parag,8,ALL,Riyan Parag,RR
DJ Hooda,7,BAT,Deepak Hooda,CHE
S Dube,8,BAT,Shivam Dube,CHE
N Pooran,8.5,WK,Nicholas Pooran,LSG
M Shahrukh Khan,7.5,ALL,Shahrukh Khan,GT
JA Richardson,,,,
Mohammed Shami,8.5,BOWL,Mohammed Shami,SRH
M Vohra,,,,
Arshdeep Singh,8.5,BOWL,Arshdeep Singh,PBKS
JC Buttler,9,WK,Jos Buttler,GT
RP Meredith,,,,
M Ashwin,,,,
Q de Kock,8,WK,Quinton de Kock,KKR
D Padikkal,7,BAT,Devdutt Padikkal,RCB
JO Holder,,,,
S Nadeem,,,,
JD Unadkat,7,BOWL,Jaydev Unadkat,SRH
DA Miller,8,BAT,David Miller,LSG
AM Rahane,7.5,BAT,Ajinkya Rahane,KKR
Lalit Yadav,,,,
K Rabada,8.5,BOWL,Kagiso Rabada,GT
KK Ahmed,7.5,BOWL,Khaleel Ahmed,CHE
Mujeeb Ur Rahman,7,BOWL,Mujeeb-ur-Rahman,MI
Abhishek Sharma,8.5,ALL,Abhishek Sharma,SRH
Virat Singh,,,,
J Suchith,,,,
AF Milne,,,,
LI Meriwala,,,,
RV Patel,,,,
Jalaj S Saxena,,,,
SPD Smith,,,,
J Yadav,6.5,BOWL,Jayant Yadav,GT
SO Hetmyer,7.5,BAT,Shimron Hetmyer,RR
KM Jadhav,,,,
S Kaul,,,,
MC Henriques,,,,
FA Allen,,,,
KS Williamson,,,,
SP Narine,9,ALL,Sunil Narine,KKR
KL Nagarkoti,6,BOWL,Kamlesh Nagarkoti,CHE
L Ngidi,7.5,BOWL,Lungi Ngidi,RCB
KW Richardson,,,,
Ravi Bishnoi,8,BOWL,Ravi Bishnoi,LSG
YBK Jaiswal,9,BAT,Yashasvi Jaiswal,RR
Shivam Mavi,,,,
Navdeep Saini,,,,
Imran Tahir,,,,
AR Patel,9,ALL,Axar Patel,DC
CJ Jordan,,,,
I Sharma,7.5,BOWL,Ishant Sharma,GT
DR Sams,,,,
NM Coulter-Nile,,,,
P Simran Singh,7.5,WK,Prabhsimran Singh,PBKS
Harpreet Brar,6.5,BOWL,Harpreet Brar,PBKS
DS Kulkarni,,,,
JDS Neesham,,,,
Kartik Tyagi,,,,
Anuj Rawat,6.5,WK,Anuj Rawat,GT
DJ Malan,,,,
KS Bharat,,,,
LH Ferguson,7.5,BOWL,Lockie Ferguson,PBKS
Sachin Baby,6.5,BAT,Sachin Baby,SRH
PWH de Silva,8.5,ALL,Wanindu Hasaranga,
VR Iyer,8,BAT,Venkatesh Iyer,KKR
Umran Malik,6,BOWL,Umran Malik,KKR
JJ Roy,,,,
PP Chawla,,,,
PK Garg,,,,
Akash Singh,6,BOWL,Akash Singh,LSG
M Markande,6,BOWL,Mayank Markande,KKR
GD Phillips,8,BAT,Glenn Phillips,GT
E Lewis,,,,
JR Hazlewood,8.5,BOWL,Josh Hazlewood,RCB
KM Asif,,,,
AK Markram,8,ALL,Aiden Markram,LSG
SN Khan,,,,
GHS Garton,,,,
S Sandeep Warrier,,,,
TG Southee,,,,
SS Iyer,8.5,BAT,Shreyas Iyer,PBKS
KK Nair,7,BAT,Karun Nair,DC
A Nortje,8,BOWL,Anrich Nortje,KKR
K Yadav,,,,DC
MK Lomror,6.5,BAT,Mahipal Lomror,GT
RV Uthappa,,,,
SS Tiwary,,,,
LS Livingstone,8,ALL,Liam Livingstone,RCB
T Shamsi,,,,
Mandeep Singh,,,,
NT Ellis,7,BOWL,Nathan Ellis,CHE
TL Seifert,,,,
Anmolpreet Singh,,,,
K Gowtham,,,,
AS Roy,6,ALL,Anukul Sudhakar Roy,KKR
IC Porel,,,,
AU Rashid,,,,
TH David,7.5,BAT,Tim David,RCB
MJ Santner,7.5,ALL,Mitchell Santner,MI
UT Yadav,,,,
DP Conway,8,WK,Devon Conway,CHE
SP Jackson,,,,
TU Deshpande,7.5,BOWL,Tushar Deshpande,RR
SW Billings,,,,
Kuldeep Yadav,8.5,BOWL,Kuldeep Yadav,DC
R Powell,7,BAT,Rovman Powell,KKR
Tilak Varma,8,BAT,Tilak Varma,MI
Basil Thampi,,,,
TS Mills,,,,
OF Smith,,,,
DJ Willey,,,,
Akash Deep,7,BOWL,Akash Deep,LSG
PBB Rajapaksa,,,,
RA Bawa,5.5,BAT,Raj Angad Bawa,MI
MS Wade,,,,
VR Aaron,,,,
A Badoni,7,BAT,Ayush Badoni,LSG
PVD Chameera,7,BOWL,Dushmantha Chameera,DC
Mohsin Khan,7,BOWL,Mohsin Khan,LSG
A Manohar,6.5,BAT,Abhinav Manohar,SRH
R Shepherd,7,ALL,Romario Shepherd,RCB
SE Rutherford,7,BAT,Sherfane Rutherford,GT
AJ Tye,,,,
D Pretorius,,,,
Mukesh Choudhary,6.5,BOWL,Mukesh Choudhary,CHE
JM Sharma,7.5,WK,Jitesh Sharma,RCB
VG Arora,6.5,BOWL,Vaibhav Arora,KKR
Rasikh Salam,6.5,BOWL,Rasikh Salam,RCB
D Brevis,6,BAT,Dewald Brevis,CHE
DG Nalkande,6.5,BOWL,Darshan Nalkande,DC
B Sai Sudharsan,8,BAT,Sai Sudharsan,GT
M Theekshana,7.5,BOWL,Maheesh Theekshana,RR
Ramandeep Singh,7.5,ALL,Ramandeep Singh,KKR
RK Singh,7.5,BAT,Rinku Singh,KKR
HE van der Dussen,,,,
KR Sen,6,BOWL,Kuldeep Sen,PBKS
SS Prabhudessai,,,,
Yash Dayal,7,BOWL,Yash Dayal,RCB
AJ Finch,,,,
Shashank Singh,7.5,BAT,Shashank Singh,PBKS
Aman Hakim Khan,,,,
MR Marsh,8,BAT,Mitchell Marsh,LSG
AS Joseph,6.5,BOWL,Shamar Joseph,LSG
OC McCoy,,,,
HR Shokeen,,,,
R Dhawan,,,,
DJ Mitchell,,,,
B Indrajith,,,,
Harshit Rana,8,BOWL,Harshit Rana,KKR
PJ Sangwan,,,,
K Kartikeya,6,BOWL,Kumar Kartikeya,RR
Simarjeet Singh,6,BOWL,Simarjeet- Singh,SRH
SA Abbott,,,,
Fazalhaq Farooqi,7,BOWL,FazalHaq Farooqi,RR
R Sai Kishore,7,BOWL,Ravisrinivasan Sai Kishore,GT
KS Sharma,,,,
T Stubbs,8,BAT,Tristan Stubbs,DC
N Jagadeesan,,,,
PH Solanki,,,,
M Pathirana,8.5,BOWL,Matheesha Pathirana,CHE
R Sanjay Yadav,,,,
A Tomar,,,,
PN Mankad,,,,
J Little,,,,
RS Hangargekar,,,,
Rahmanullah Gurbaz,7.5,WK,Rahmanullah Gurbaz,KKR
Sikandar Raza,,,,
KR Mayers,,,,
Mukesh Kumar,7,BOWL,Mukesh Kumar,DC
MA Wood,,,,
RR Rossouw,,,,
HC Brook,,,,
